FBillHead(ENG_BOM),FNumber,FName#2052,FBOMCATEGORY,FBOMUSE,FGroup,FGroup#Name,FMATERIALID,FMATERIALID#Name,FUNITID,FUNITID#Name,FDescription#2052,FTreeEntity,FReplaceGroup,FMATERIALIDCHILD,FMATERIALIDCHILD#Name,FCHILDUNITID,FCHILDUNITID#Name,FNUMERATOR,FDENOMINATOR,FSCRAPRATE,FBOMID,FBOMID#Name,FMEMO#2052
*单据头(序号),(单据头)BOM版本/phiên bản,(单据头)BOM简称#中文(简体),*(单据头)BOM分类,*(单据头)BOM用途,(单据头)BOM分组#编码,(单据头)BOM分组#名称,*(单据头)父项物料编码/Mã vật liệu#编码,(单据头)父项物料编码/Mã vật liệu#名称,*(单据头)父项物料单位#编码,(单据头)父项物料单位#名称,(单据头)描述#中文(简体),*子项明细(序号),(子项明细)项次,*(子项明细)子项物料编码/Mã vật liệu#编码,(子项明细)子项物料编码/Mã vật liệu#名称,*(子项明细)子项单位/Đơn vị#编码,(子项明细)子项单位/Đơn vị#名称,(子项明细)用量:分子/lượng dùng,(子项明细)用量:分母/lượng dùng,(子项明细)变动损耗率%/tỉ lệ hụt,(子项明细)子项BOM版本#编码,(子项明细)子项BOM版本#名称,(子项明细)备注/chú thích#中文(简体)
947830,V000,,标准BOM,通用,96,包装出货成品,96.SP66666X-GM001V,DWD INA TameNTrainIntToothles GML1pkSLD,Pcs,Pcs,,310583,1,95.SP66666X-00100R,666666 装配成品,Pcs,Pcs,1,1,,,,
,,,,,,,,,,,,310584,2,22.04GLR03A-03XXXR,ROHS AAA 电池,Pcs,Pcs,3,1,2,,,
,,,,,,,,,,,,313737,3,77.SP66666X-10001R,鱼 cá,Pcs,Pcs,1,1,1,,,
,,,,,,,,,,,,313739,4,77.SP66666X-17001R,尾翼 Cánh đuôi,Pcs,Pcs,1,1,1,,,
,,,,,,,,,,,,313741,5,33.17300800-0203XR,螺丝,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,314620,6,54.SP66666X-00300N,卡通箱（箱重0.28kg)/ Thùng carton,Pcs,Pcs,1,1,,,,
,,,,,,,,,,,,314625,7,60.24XX01XX-001XXR,ROHS 透明胶纸/Băng dính trong,m,米,0.2,1,2,,,
,,,,,,,,,,,,314626,8,60.60XX01XX-003XXN,ROHS 透明胶纸/ băng dính trong,m,米,0.794,1,2,,,
,,,,,,,,,,,,316501,9,62.SP66666X-00100N,鱼仔吸塑罩,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,316858,10,51.SP66666X-00400N,加强卡2 （免费）,Pcs,Pcs,2,1,2,,,
,,,,,,,,,,,,317135,11,51.SP66666X-00500N,加强卡3（免费）,Pcs,Pcs,3,1,2,,,
,,,,,,,,,,,,318805,12,52.SP66666X-0A100N,说明书,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,319625,13,77.SP66666X-170A2R,包装扣（改模）khóa đóng gói,Pcs,Pcs,3,1,1,,,
,,,,,,,,,,,,319626,14,77.SP66666X-150A9R,电池门（改模）nắp pin,Pcs,Pcs,1,1,1,,,
,,,,,,,,,,,,319922,15,94.SP66666X-00400R,左翼半制,Pcs,Pcs,1,1,,,,
,,,,,,,,,,,,319923,16,94.SP66666X-00500R,右翼半制,Pcs,Pcs,1,1,,,,
,,,,,,,,,,,,322634,17,50.SP66666X-0B200N,彩盒,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,322635,18,51.SP66666X-0A800N,底托（改刀线）,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,322636,19,51.SP66666X-0A900N,背景卡,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,323508,20,62.SP66666X-00400N,隔电片,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,324523,21,51.SP66666X-01000N,加强卡1（免费）（减短）,Pcs,Pcs,2,1,2,,,
,,,,,,,,,,,,325893,22,13.02955004-1005XR,橡皮筋,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,326508,23,13.02052030-1005XR,橡皮筋,Pcs,Pcs,1,1,2,,,
947786,V000,,标准BOM,通用,87,贴片半制品,87.SP66666X-00100R,66666A01  贴片半制,Pcs,Pcs,,310507,1,22.02107203-YS019R,ROHS 贴片电容,Pcs,Pcs,2,1,2,,,
,,,,,,,,,,,,310508,2,22.02226302-XS014R,ROHS 贴片电容,Pcs,Pcs,5,1,2,,,
,,,,,,,,,,,,310509,3,22.02106302-XS014R,ROHS 贴片电容,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,310510,4,22.02222301-XS013R,ROHS 贴片电容,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,310511,5,22.02105302-XS113R,ROHS 贴片电容,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,310512,6,22.02104202-XS013R,ROHS 贴片电容,Pcs,Pcs,12,1,2,,,
,,,,,,,,,,,,310513,7,22.02478202-XS013R,ROHS 贴片电容,Pcs,Pcs,2,1,2,,,
,,,,,,,,,,,,310514,8,22.02100205-NS013R,ROHS 贴片电容,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,310515,9,22.01SX020A-090XXR,ROHS 贴片电阻（发）/Bản vá điện trở(phát),Pcs,Pcs,2,1,2,,,
,,,,,,,,,,,,310516,10,22.01SX101B-0300XR,ROHS 贴片电阻/Bản vá điện trở,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,310517,11,22.01SX511B-0300XR,ROHS 贴片电阻,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,310518,12,22.01SX103B-0300XR,ROHS 贴片电阻（发）/Bản vá điện trở(phát),Pcs,Pcs,2,1,2,,,
,,,,,,,,,,,,310519,13,22.01SX434A-0300XR,ROHS 贴片电阻,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,310520,14,22.01SX514A-0300XR,ROHS 贴片电阻,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,310521,15,22.01SX106B-0300XR,ROHS 贴片电阻（发）,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,310522,16,22.10SS14DO-01X01R,贴片二极管,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,310523,17,22.032296XX-206XXR,贴片功率电感,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,310524,18,22.03601XXX-2XXXXR,ROHS 贴片磁珠电感/Bản vá Độ tự cảm hạt từ,Pcs,Pcs,6,1,2,,,
,,,,,,,,,,,,310525,19,20.SP66666X-00200R,SPI FlashIC,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,310527,20,20.SP66666X-00400R,DC-DC IC,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,310528,21,20.SP39100X-00400R,LDO IC,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,310529,22,22.160023XX-001XXR,贴片FPC插座,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,310530,23,20.SP44651X-00400R,ROHS 贴片PTC（芯片） CHÍP PTC,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,310531,24,00.05040005-XXXXXR,无铅锡膏/mỡ thiếc,g,克,0.084,1,2,,,
,,,,,,,,,,,,310709,25,21.SP66666X-10F11R,66666A01 PCB主板 Bản mạch PCB,Pcs,Pcs,1,1,2,,,
,,,,,,,,,,,,312285,26,22.01SX105B-0300XR,ROHS 贴片电阻/Bản vá điện trở,Pcs,Pcs,3,1,2,,,
,,,,,,,,,,,,312563,27,20.SP66666X-00600R,Motor Driver IC,Pcs,Pcs,2,1,2,,,
